#,Name,Team,Bats,ESPN,YAHOO,G,PA,AB,R,HR,RBI,SB,H,1B,2B,3B,TB,SO,BB,HBP,SF,SH,CS,AVG,OBP,SLG,OPS,BABIP,RazzID
321,Will Brennan,CLE,L,OF,OF,71,236,218,24.4,4.3,24.5,4.9,59.4,40.1,14.0,0.9,88.3,34.6,13.8,2.1,1.6,0.5,1.5,0.272,0.318,0.404,0.722,0.304,686823
322,Davis Schneider,TOR,R,2B/OF,2B/OF,73,235,203,26.9,7.0,25.1,2.8,43.5,24.3,11.5,0.6,77.3,68.4,27.2,2.8,1.6,0.6,0.7,0.214,0.312,0.382,0.694,0.283,676914
323,Adam Duvall,FA,R,OF,OF,70,234,214,24.9,9.2,27.6,1.1,44.9,26.2,9.0,0.5,82.6,71.2,15.1,3.2,1.6,0.5,0.3,0.210,0.270,0.386,0.656,0.264,10950
324,Jarred Kelenic,ATL,L,OF,OF,71,234,210,27.9,7.6,27.4,4.9,49.6,30.6,10.3,1.0,84.8,64.5,19.9,1.6,1.7,0.8,1.6,0.236,0.304,0.403,0.707,0.300,672284
325,David Peralta,FA,L,OF,OF,71,233,212,24.7,5.0,23.9,1.8,53.0,35.9,11.5,0.6,80.6,49.2,16.7,2.1,1.6,0.6,0.6,0.249,0.308,0.380,0.687,0.300,2136
326,Paul DeJong,WSH,R,SS/3B,SS/3B,71,231,211,23.3,8.3,25.0,2.0,43.2,26.4,8.3,0.2,76.8,72.1,14.4,3.2,1.6,0.6,0.7,0.205,0.263,0.363,0.626,0.264,657557
327,Harrison Bader,MIN,R,OF,OF,71,231,213,24.8,5.6,24.5,10.0,51.9,34.3,11.4,0.6,81.3,47.6,12.8,3.0,1.6,0.7,2.7,0.244,0.293,0.381,0.674,0.287,664056
328,Dillon Dingler,DET,R,C,C,71,231,209,24.3,6.2,23.2,2.0,46.5,30.0,9.4,0.9,76.3,64.4,16.4,2.9,1.6,0.7,0.5,0.222,0.285,0.364,0.649,0.287,693307
329,Dane Myers,MIA,R,OF,OF,70,230,209,23.4,5.0,21.5,4.7,50.0,35.1,9.1,0.9,75.8,63.8,16.0,3.2,1.6,0.6,1.3,0.240,0.301,0.363,0.665,0.319,667472
330,Brandon Drury,CHW,R,2B,1B/2B/ 3B,69,229,209,23.5,7.1,25.3,1.0,48.4,29.1,11.6,0.6,82.3,53.9,14.4,3.0,1.6,0.4,0.3,0.231,0.287,0.393,0.680,0.276,11615
331,Victor Caratini,HOU,S,C,C/1B,71,229,203,26.4,6.3,24.9,1.3,50.0,35.7,7.2,0.8,77.9,46.9,19.2,3.6,1.6,0.6,0.4,0.246,0.319,0.383,0.702,0.289,605170
332,Connor Joe,SD,R,1B/OF,1B/OF,72,229,199,26.2,5.5,23.0,2.3,45.4,28.7,10.5,0.8,73.8,55.0,24.1,3.2,1.6,0.4,0.8,0.228,0.318,0.371,0.689,0.285,656582
333,Donovan Solano,SEA,R,1B/3B,1B/3B,71,228,206,22.6,3.5,20.6,1.2,51.9,37.3,10.7,0.4,74.0,50.7,16.1,3.9,1.6,0.5,0.3,0.252,0.315,0.359,0.674,0.315,8623
334,Javier Baez,DET,R,SS,SS,70,228,212,23.1,5.9,23.5,4.4,49.5,33.7,9.1,0.9,78.0,53.4,11.0,2.4,1.6,0.6,1.1,0.233,0.276,0.367,0.644,0.282,12979
335,David Fry,CLE,R,C/1B/ OF,C/1B/ OF,71,228,201,26.4,6.9,25.4,2.2,48.7,29.9,11.2,0.7,82.1,53.3,20.9,4.1,1.6,0.4,0.6,0.243,0.323,0.408,0.731,0.293,681807
336,Elias Diaz,SD,R,C,C,71,227,208,23.1,5.2,22.4,0.5,47.0,31.6,9.7,0.4,73.1,53.7,14.8,1.8,1.6,0.6,0.2,0.226,0.281,0.352,0.633,0.278,11680
337,Jason Heyward,SD,L,OF,OF,69,224,201,25.1,6.6,25.2,2.8,46.7,27.4,11.9,0.8,79.9,48.2,18.1,2.7,1.6,0.6,0.8,0.233,0.301,0.398,0.700,0.272,4940
338,Yasmani Grandal,FA,S,C,C,70,224,196,25.0,6.2,23.3,1.1,46.0,31.6,7.9,0.3,73.1,47.2,23.8,1.9,1.6,0.6,0.3,0.234,0.320,0.372,0.692,0.275,11368
339,Kevin Newman,LAA,R,2B/SS,2B/SS,71,224,207,22.9,2.4,19.6,4.9,50.8,37.6,9.9,0.8,69.6,38.4,12.5,1.9,1.6,0.7,1.2,0.245,0.291,0.336,0.627,0.288,621028
340,James McCann,FA,R,C,C,71,223,205,23.7,5.9,22.8,2.3,46.3,31.1,8.9,0.4,73.8,57.9,12.7,3.0,1.6,0.8,0.6,0.226,0.277,0.359,0.637,0.282,12859
