#,Name,Team,Bats,ESPN,YAHOO,G,PA,AB,R,HR,RBI,SB,H,1B,2B,3B,TB,SO,BB,HBP,SF,SH,CS,AVG,OBP,SLG,OPS,BABIP,RazzID
410,Nick Senzel,FA,R,3B,3B,50,147,132,14.8,3.3,14.0,2.1,29.0,19.9,5.6,0.2,45.0,32.5,12.9,1.3,1.0,0.4,0.8,0.221,0.294,0.342,0.636,0.266,669222
411,Billy Cook,PIT,R,OF,1B/OF,51,147,133,15.8,4.0,14.8,3.9,30.3,19.9,5.7,0.6,49.3,41.0,10.3,1.7,1.1,0.5,0.9,0.227,0.289,0.370,0.659,0.295,695257
412,Yan Gomes,FA,R,C,C,50,146,136,15.0,3.4,14.7,1.0,31.5,21.6,6.0,0.5,48.7,35.2,6.4,2.0,1.1,0.5,0.2,0.231,0.274,0.357,0.631,0.285,9627
413,Noelvi Marte,CIN,R,3B,3B,44,146,134,16.3,3.9,15.9,4.5,32.3,20.0,8.1,0.3,52.5,36.2,9.5,1.4,1.0,0.4,1.3,0.241,0.295,0.393,0.689,0.300,682622
414,Luisangel Acuna,NYM,R,SS,SS,51,146,136,16.5,2.5,14.5,6.9,33.6,24.6,5.6,0.9,48.4,27.6,8.3,0.9,1.0,0.5,1.9,0.248,0.293,0.357,0.650,0.292,682668
415,Brett Wisely,SF,L,2B/SS,2B/SS,51,146,132,15.4,2.5,13.4,2.9,30.5,20.8,6.7,0.5,45.9,34.7,11.8,1.2,1.0,0.5,0.9,0.232,0.297,0.348,0.646,0.293,689172
416,Angel Martinez,CLE,S,OF,3B/OF,42,145,131,14.9,2.9,14.1,2.3,31.4,20.3,7.8,0.4,48.8,28.5,11.2,1.5,1.0,0.5,0.7,0.239,0.303,0.372,0.675,0.282,682657
417,Liam Hicks,MIA,L,C,C,50,145,125,14.5,1.7,11.3,1.0,29.1,22.0,5.1,0.3,39.8,26.1,16.0,2.6,1.0,0.4,0.3,0.233,0.330,0.319,0.649,0.280,689414
418,Luis Urias,FA,R,2B/3B,2B/3B,50,144,124,16.5,3.6,14.4,1.2,28.1,18.5,5.7,0.3,45.2,32.7,14.9,3.3,1.0,0.5,0.4,0.226,0.321,0.364,0.685,0.274,649966
419,Nick Yorke,PIT,R,2B,2B,44,144,130,15.4,2.9,13.9,3.1,33.2,23.4,6.5,0.3,49.1,31.5,12.0,1.2,1.0,0.5,1.0,0.256,0.322,0.378,0.700,0.313,694377
420,Christian Bethancourt,TOR,R,C,C,50,143,134,15.7,4.2,15.8,2.1,30.3,18.8,7.1,0.2,50.3,37.3,6.5,1.0,1.0,0.5,0.5,0.226,0.265,0.376,0.641,0.280,10028
421,Stuart Fairchild,CIN,R,OF,OF,45,143,127,16.5,4.2,15.6,5.0,28.8,16.8,7.4,0.4,49.7,39.7,11.7,2.8,1.0,0.4,1.3,0.226,0.303,0.391,0.694,0.292,656413
422,Santiago Espinal,CIN,R,2B/3B,2B/SS/ 3B,51,143,130,16.6,2.4,14.7,2.9,34.5,23.3,8.7,0.2,50.7,21.0,10.0,1.1,1.0,0.4,0.8,0.265,0.319,0.389,0.708,0.298,669289
423,Matt Carpenter,FA,L,DH,1B,49,142,124,14.8,3.6,13.4,1.1,25.0,15.5,5.6,0.3,42.0,44.3,15.5,1.7,1.0,0.4,0.3,0.202,0.297,0.340,0.637,0.279,8090
424,Jorge Mateo,BAL,R,2B,2B/SS/ OF,49,139,129,14.9,3.1,14.3,9.4,29.8,20.0,5.9,0.9,46.6,34.3,7.5,1.2,1.0,0.5,2.0,0.232,0.277,0.362,0.639,0.290,17273
425,Rafael Marchan,PHI,S,C,C,49,139,123,15.5,2.7,13.5,1.1,29.0,20.3,5.6,0.5,43.6,24.7,12.2,2.2,1.0,0.5,0.3,0.235,0.312,0.353,0.665,0.271,665561
426,Joey Loperfido,TOR,L,OF,OF,44,137,124,15.2,3.2,13.6,2.9,26.7,16.5,6.3,0.8,44.1,43.5,10.0,1.6,1.0,0.4,0.8,0.216,0.280,0.355,0.635,0.302,694388
427,Brooks Baldwin,CHW,S,2B,2B/SS,43,133,121,13.8,2.7,12.7,3.2,29.8,20.6,6.3,0.2,44.5,27.9,8.7,1.0,0.9,0.4,0.8,0.246,0.298,0.368,0.666,0.296,681460
428,Brock Wilken,MIL,R,3B,3B,40,133,118,13.4,3.5,12.2,0.7,23.3,15.3,4.2,0.3,38.6,41.7,12.7,1.1,0.9,0.4,0.2,0.198,0.280,0.328,0.608,0.270,694385
429,Brett Baty,NYM,L,3B,3B,40,130,116,15.1,4.0,14.5,0.6,27.4,17.9,5.4,0.2,45.0,31.9,11.6,1.2,0.9,0.3,0.2,0.236,0.310,0.388,0.698,0.288,683146
430,Jacob Melton,HOU,L,OF,OF,40,127,116,13.6,3.6,13.4,4.7,26.1,17.8,4.2,0.5,42.1,31.9,8.1,0.9,0.9,0.4,1.2,0.224,0.277,0.362,0.638,0.276,689200
431,Justyn-Henry Malloy,DET,R,OF,OF,34,123,105,13.3,3.1,11.7,0.9,23.1,15.2,4.5,0.3,37.5,37.0,15.7,1.5,0.8,0.3,0.3,0.220,0.328,0.358,0.686,0.305,669234
432,Kristian Campbell,BOS,R,2B,2B,34,123,107,15.0,3.0,13.3,3.0,28.5,19.4,5.5,0.6,44.1,27.8,12.1,1.7,0.9,0.4,0.9,0.265,0.345,0.411,0.756,0.330,692225
433,Gavin Sheets,SD,L,1B/OF,1B/OF,41,121,110,13.2,3.3,13.2,0.7,25.7,15.5,6.6,0.2,42.7,27.0,9.6,1.0,0.8,0.2,0.2,0.234,0.298,0.389,0.688,0.278,657757
434,Gage Workman,CHC,S,SS,SS,34,115,105,11.6,2.3,10.6,3.1,22.9,15.1,4.7,0.7,35.9,37.6,8.7,0.8,0.8,0.3,0.9,0.219,0.281,0.343,0.625,0.314,669398
435,Edmundo Sosa,PHI,R,2B/SS/ 3B,2B/SS/ 3B,34,114,105,12.2,2.5,12.0,2.1,25.6,16.9,5.2,0.9,40.2,27.7,4.9,2.5,0.8,0.3,0.6,0.243,0.290,0.383,0.673,0.304,624641
436,Weston Wilson,PHI,R,OF,2B/3B/ OF,34,114,101,12.9,3.7,12.4,2.9,22.0,13.7,4.3,0.3,38.0,32.8,11.1,0.8,0.8,0.3,0.8,0.218,0.299,0.377,0.676,0.281,642215
437,Gabriel Arias,CLE,R,3B,SS/3B/ OF,34,114,105,12.0,2.9,11.9,2.9,24.8,15.9,5.4,0.7,40.2,31.3,7.3,1.2,0.8,0.3,0.8,0.238,0.291,0.384,0.675,0.309,672356
438,Leo Rivas,SEA,S,SS,SS,34,113,96,11.1,1.1,8.2,4.7,20.3,14.6,4.2,0.4,28.6,29.5,14.8,1.0,0.8,0.3,1.2,0.211,0.319,0.297,0.617,0.290,660844
439,Anthony Rendon,LAA,R,3B,3B,32,112,97,11.9,2.1,11.0,1.9,23.8,16.6,4.8,0.2,35.4,19.7,11.2,1.8,0.7,0.3,0.5,0.244,0.329,0.363,0.693,0.284,12861
440,Eric Haase,MIL,R,C,C,34,112,103,11.7,3.7,11.8,0.9,22.3,14.8,3.5,0.3,37.4,36.3,7.4,0.8,0.8,0.3,0.2,0.216,0.271,0.362,0.633,0.290,606992
441,Drake Baldwin,ATL,L,C,C,37,112,99,12.9,2.4,11.3,0.5,23.3,16.5,4.1,0.3,35.3,24.0,11.5,1.0,0.8,0.3,0.1,0.237,0.319,0.358,0.678,0.287,686948
442,Coby Mayo,BAL,R,3B,3B,35,112,99,13.3,3.8,12.8,0.9,22.8,14.3,4.3,0.4,39.3,31.3,10.1,1.3,0.8,0.3,0.3,0.231,0.306,0.396,0.702,0.294,691723
443,Austin Barnes,LAD,R,C,C,34,111,99,12.7,2.3,11.0,1.8,22.4,15.3,4.6,0.2,34.2,24.9,9.6,1.1,0.8,0.4,0.4,0.227,0.300,0.347,0.647,0.278,12158
444,Matt Duffy,FA,R,2B/3B,2B/SS/ 3B,34,111,101,10.7,1.2,9.1,0.9,24.0,18.4,4.2,0.2,32.2,24.5,7.6,1.2,0.8,0.3,0.2,0.237,0.295,0.318,0.613,0.299,13836
445,Jake Bauers,MIL,L,1B,1B/OF,35,111,98,11.6,3.6,11.2,2.6,19.2,11.8,3.4,0.4,34.4,37.5,12.1,1.0,0.8,0.2,0.7,0.197,0.290,0.352,0.643,0.273,641343
446,Brandon Lockridge,SD,R,OF,OF,34,111,100,11.4,1.5,9.5,5.5,23.0,16.5,4.6,0.4,32.9,31.7,9.3,1.0,0.8,0.3,1.2,0.230,0.299,0.329,0.628,0.319,663604
447,Marco Luciano,SF,R,SS,2B/SS,34,111,98,11.3,2.2,9.7,1.1,21.2,15.1,3.4,0.4,32.0,33.1,11.4,0.8,0.8,0.3,0.3,0.216,0.300,0.326,0.626,0.299,682617
448,Joey Wendle,FA,L,3B,3B,34,110,103,10.4,1.3,9.7,2.3,24.2,16.9,5.5,0.6,34.9,22.4,4.6,1.1,0.8,0.3,0.6,0.234,0.272,0.337,0.609,0.285,13853
449,Riley Adams,WSH,R,C,C,34,110,98,11.5,3.0,11.1,0.6,21.8,13.4,5.0,0.4,36.6,32.0,8.8,1.7,0.8,0.3,0.2,0.222,0.294,0.373,0.667,0.294,656180
450,David Hamilton,BOS,L,2B/SS,2B/SS,34,110,98,12.1,2.3,10.7,8.3,22.6,15.1,4.7,0.5,35.2,27.3,10.0,0.8,0.8,0.4,1.9,0.229,0.302,0.358,0.660,0.291,666152
451,Trey Lipscomb,WSH,R,3B,2B/3B,34,110,102,10.7,1.6,9.8,3.0,24.8,18.1,5.0,0.2,35.0,22.0,6.2,0.9,0.8,0.4,0.8,0.244,0.290,0.344,0.634,0.295,702358
452,Matt Thaiss,CHW,L,C,C,34,109,94,11.0,2.6,9.8,1.2,19.9,13.4,3.8,0.2,31.9,29.7,12.9,1.1,0.8,0.3,0.3,0.213,0.311,0.340,0.651,0.279,642136
453,Vidal Brujan,CHC,S,2B,2B/SS/ 3B/OF,35,109,97,11.5,1.8,9.8,4.1,22.5,15.7,4.3,0.7,33.4,22.1,9.7,1.3,0.8,0.4,1.4,0.232,0.308,0.344,0.652,0.281,660644
454,Chase Meidroth,CHW,R,2B,2B,35,109,91,11.7,1.5,9.0,1.6,22.0,15.4,4.8,0.3,31.8,19.9,14.6,1.6,0.8,0.3,0.5,0.240,0.351,0.348,0.699,0.290,805367
455,Aledmys Diaz,FA,R,SS/3B,SS/3B,33,108,100,10.9,2.2,10.5,0.7,23.1,15.7,5.0,0.3,35.3,21.1,5.9,1.3,0.8,0.3,0.2,0.232,0.281,0.353,0.634,0.271,15937
456,Luis Guillorme,HOU,L,2B,2B/SS/ 3B,34,108,94,11.7,0.8,8.8,1.9,22.9,17.8,3.8,0.6,30.3,20.0,11.4,0.8,0.8,0.4,0.5,0.244,0.327,0.322,0.649,0.299,641645
457,Alex Jackson,NYY,R,C,C,34,106,96,12.2,3.5,11.9,0.9,19.8,11.5,4.5,0.3,35.5,31.1,7.8,1.3,0.8,0.4,0.2,0.206,0.271,0.369,0.641,0.262,656577
458,Oscar Colas,CHW,L,OF,OF,35,106,96,10.7,2.6,10.3,1.7,22.5,15.2,4.3,0.4,35.3,27.8,7.5,1.0,0.8,0.3,0.6,0.233,0.291,0.366,0.657,0.298,693049
459,Henry Davis,PIT,R,C,C,34,104,91,11.1,2.7,10.1,1.6,20.3,13.4,4.0,0.2,32.7,27.8,10.1,2.0,0.8,0.3,0.5,0.222,0.309,0.357,0.667,0.285,680779
460,Ryan Bliss,SEA,R,2B,2B,35,103,92,11.3,2.3,9.9,6.3,20.5,13.1,4.6,0.5,33.1,27.0,8.5,1.2,0.7,0.3,1.8,0.223,0.293,0.359,0.651,0.285,669208
461,Marcelo Mayer,BOS,L,SS,SS,31,103,94,11.3,2.0,10.4,1.8,23.1,15.0,5.8,0.3,35.4,23.4,7.3,0.8,0.7,0.3,0.5,0.246,0.302,0.377,0.679,0.305,691785
462,Esteury Ruiz,ATH,R,OF,OF,33,101,91,11.6,1.9,10.0,9.6,21.9,14.8,4.8,0.4,33.2,23.0,6.7,2.3,0.7,0.4,2.2,0.242,0.306,0.365,0.672,0.302,665923
463,Juan Yepez,WSH,R,1B,1B,31,98,89,10.8,3.2,11.2,0.7,21.6,13.4,4.8,0.2,36.4,19.7,7.9,0.8,0.7,0.2,0.2,0.243,0.308,0.411,0.718,0.276,660766
464,Jack Suwinski,PIT,L,OF,OF,31,97,85,10.9,3.5,10.8,2.0,18.5,10.6,4.0,0.3,33.8,28.8,10.3,0.9,0.7,0.2,0.6,0.217,0.305,0.396,0.701,0.278,669261
465,Christian Moore,LAA,R,2B,2B,31,97,89,10.6,2.4,10.2,1.3,21.8,14.9,4.1,0.3,33.9,24.6,5.7,0.9,0.7,0.3,0.4,0.246,0.295,0.381,0.675,0.310,695681
466,Andruw Monasterio,MIL,R,2B/3B,2B/SS/ 3B,31,95,84,9.7,1.2,7.9,2.8,20.0,14.7,3.9,0.3,28.1,22.3,9.8,1.0,0.7,0.3,0.8,0.239,0.324,0.336,0.660,0.309,655316
467,Shay Whitcomb,HOU,R,3B,2B/3B,31,95,86,10.6,3.1,10.6,2.4,19.3,12.1,3.9,0.2,32.9,26.1,6.2,1.0,0.7,0.3,0.7,0.224,0.280,0.381,0.661,0.280,694376
468,Luke Keaschall,MIN,R,2B,2B,31,95,84,10.7,1.8,9.3,2.0,20.6,13.9,4.6,0.3,31.3,20.7,9.0,1.6,0.7,0.3,0.5,0.245,0.327,0.371,0.699,0.301,807712
469,Cooper Bowman,CIN,R,2B,2B,31,94,84,9.9,1.7,8.9,3.9,18.8,11.5,5.2,0.3,29.8,23.8,7.7,0.9,0.7,0.3,0.9,0.223,0.292,0.353,0.646,0.287,688682
470,Nathan Lukes,TOR,L,OF,OF,31,92,83,10.2,1.3,9.1,1.3,21.9,15.1,4.9,0.5,31.8,17.5,7.1,0.9,0.7,0.3,0.3,0.264,0.325,0.383,0.708,0.318,18123
471,Pedro Leon,HOU,R,OF,OF,31,92,82,10.1,2.5,9.3,3.0,17.3,10.8,3.7,0.3,29.0,29.7,7.1,1.6,0.6,0.3,1.0,0.212,0.283,0.355,0.638,0.294,694175
472,Tim Anderson,LAA,R,SS,SS,30,91,85,8.7,1.0,8.0,2.2,21.9,17.2,3.4,0.3,28.9,21.4,3.8,0.7,0.6,0.3,0.5,0.257,0.291,0.340,0.631,0.330,15172
473,J.D. Davis,LAA,R,1B/3B,1B/3B,30,89,79,9.8,2.6,9.4,0.3,17.8,11.8,3.2,0.2,29.4,28.1,7.6,1.1,0.6,0.1,0.1,0.225,0.299,0.371,0.670,0.310,16219
474,Tyler Freeman,CLE,R,OF,2B/SS/ 3B/OF,26,87,77,9.6,1.7,8.6,2.6,20.0,14.0,4.1,0.2,29.6,13.1,6.1,2.8,0.6,0.2,0.7,0.259,0.332,0.383,0.715,0.290,671289
475,Eric Wagaman,MIA,R,1B,1B,27,87,80,9.1,2.2,9.1,1.2,19.8,13.0,4.2,0.3,31.4,18.0,5.9,0.6,0.6,0.2,0.3,0.247,0.302,0.393,0.695,0.291,676572
476,Nick Ahmed,TEX,R,SS,SS,30,86,80,8.4,1.2,7.6,1.2,17.7,12.7,3.5,0.4,25.5,20.6,4.7,0.6,0.6,0.3,0.3,0.222,0.267,0.319,0.587,0.282,12147
477,Daniel Vogelbach,FA,L,DH,DH,26,85,73,10.0,2.8,9.3,0.4,16.7,10.8,2.9,0.2,28.3,21.1,11.1,0.6,0.6,0.2,0.1,0.230,0.333,0.389,0.722,0.282,14130
478,Chadwick Tromp,ATL,R,C,C,26,85,77,9.4,2.0,8.7,0.4,17.2,11.6,3.5,0.1,26.9,20.9,6.4,0.5,0.6,0.3,0.1,0.224,0.286,0.351,0.637,0.280,644433
479,Austin Martin,MIN,R,OF,2B/OF,27,85,74,9.4,0.8,7.3,2.7,18.3,12.9,4.3,0.3,25.6,15.6,9.1,1.5,0.6,0.3,0.7,0.246,0.339,0.345,0.684,0.299,668885
480,Greg Jones,COL,S,SS,SS,26,85,77,8.7,2.0,8.3,4.4,17.6,12.3,2.8,0.4,27.4,30.3,5.5,1.0,0.6,0.2,1.0,0.228,0.285,0.354,0.638,0.341,675659
481,Kyle Teel,CHW,L,C,C,26,85,75,8.8,1.8,7.7,1.2,17.4,12.0,3.4,0.1,26.4,21.9,8.2,0.8,0.6,0.2,0.3,0.233,0.312,0.353,0.665,0.303,691019
482,Nick Allen,ATL,R,SS,SS,27,84,76,9.6,1.1,8.0,2.0,19.0,13.9,3.8,0.2,26.6,13.9,6.7,0.6,0.6,0.3,0.5,0.249,0.312,0.348,0.660,0.290,669397
483,Jose Herrera,ARI,S,C,C,26,83,73,8.8,1.0,7.0,0.7,16.6,12.5,2.6,0.4,23.1,18.8,8.0,0.6,0.6,0.3,0.2,0.226,0.305,0.315,0.620,0.287,645444
484,Romy Gonzalez,BOS,R,1B/2B/ SS,1B/2B/ SS/3B/OF,25,83,77,9.5,2.4,9.5,3.2,19.2,12.8,3.3,0.7,31.2,23.3,4.8,0.8,0.6,0.2,0.9,0.252,0.299,0.409,0.707,0.327,663853
485,Dominic Canzone,SEA,L,OF,OF,26,82,74,9.1,2.8,9.4,0.8,17.7,10.3,4.4,0.1,30.9,19.0,6.5,0.6,0.6,0.2,0.2,0.238,0.301,0.415,0.716,0.279,686527
486,Miguel Sano,FA,R,3B,1B/3B,25,81,72,9.6,3.3,9.6,0.4,15.6,9.2,3.0,0.2,29.0,27.5,7.2,1.0,0.5,0.1,0.1,0.217,0.296,0.402,0.697,0.294,12164
487,Jason Delay,PIT,R,C,C,25,77,70,7.6,0.7,6.1,0.8,16.1,11.7,3.5,0.2,22.2,17.1,5.3,0.9,0.6,0.3,0.2,0.229,0.289,0.316,0.605,0.290,641511
488,Cal Stevenson,PHI,L,OF,OF,24,76,65,8.6,1.3,6.9,2.7,14.7,10.4,2.6,0.4,21.8,17.6,10.3,0.5,0.5,0.2,0.7,0.226,0.334,0.335,0.669,0.288,670276
489,Everson Pereira,NYY,R,OF,OF,24,75,68,8.6,2.4,8.7,1.4,15.6,9.7,3.2,0.3,26.7,23.5,5.2,0.9,0.5,0.2,0.4,0.228,0.288,0.390,0.679,0.307,677592
490,Ronny Mauricio,NYM,S,2B,2B/3B,24,75,69,8.4,2.3,8.8,2.0,17.2,11.2,3.6,0.2,28.0,15.2,4.2,0.7,0.5,0.2,0.6,0.249,0.296,0.404,0.701,0.286,677595
491,Kameron Misner,TB,L,OF,OF,23,72,63,7.3,1.5,6.1,1.8,12.0,7.5,2.7,0.3,19.9,26.2,8.1,0.6,0.5,0.2,0.5,0.192,0.288,0.317,0.605,0.297,670224
492,Cavan Biggio,KC,L,1B/2B/ 3B/OF,1B/2B/ 3B/OF,23,71,61,7.6,1.4,6.3,0.9,12.8,8.9,2.4,0.2,19.6,19.5,8.2,1.3,0.5,0.2,0.2,0.212,0.315,0.323,0.638,0.285,624415
493,Austin Shenton,SEA,L,1B,1B,23,71,62,7.6,2.1,7.1,0.2,13.0,7.1,3.7,0.1,23.1,23.9,7.6,0.6,0.5,0.2,0.1,0.208,0.297,0.369,0.667,0.295,668853
494,Eli White,ATL,R,OF,OF,23,70,63,7.9,1.4,6.7,2.4,13.9,9.9,2.4,0.3,21.0,20.8,5.9,0.9,0.5,0.2,0.6,0.222,0.296,0.335,0.631,0.306,642201
495,Dylan Carlson,BAL,S,OF,OF,22,70,61,7.8,1.5,7.1,0.8,14.5,9.5,3.3,0.2,22.8,16.2,6.4,1.1,0.5,0.2,0.2,0.237,0.317,0.372,0.689,0.295,666185
496,Kyle McCann,ATH,L,C,C,23,70,62,6.9,1.9,6.7,0.3,12.0,7.7,2.3,0.1,20.1,25.5,5.8,0.7,0.5,0.2,0.1,0.192,0.265,0.324,0.589,0.285,668832
497,Drew Waters,KC,S,OF,OF,22,70,63,7.5,1.5,6.9,2.0,14.7,9.7,3.0,0.5,23.0,20.5,6.0,0.7,0.5,0.2,0.6,0.235,0.305,0.368,0.673,0.322,671221
498,Brett Harris,ATH,R,3B,3B,23,70,61,7.8,1.4,6.7,1.0,13.8,9.4,2.7,0.2,21.3,15.5,6.5,1.0,0.5,0.2,0.3,0.226,0.306,0.348,0.655,0.276,695391
499,Stone Garrett,WSH,R,OF,OF,23,69,63,6.9,1.9,7.0,0.7,13.8,8.8,3.0,0.1,22.8,21.6,4.9,0.7,0.5,0.1,0.2,0.218,0.280,0.361,0.641,0.297,656448
500,Martin Maldonado,SD,R,C,C,23,67,61,6.6,1.8,6.1,0.5,10.8,6.9,2.0,0.1,18.3,23.1,4.6,0.8,0.5,0.2,0.1,0.176,0.240,0.299,0.539,0.246,6887
501,Tomas Nido,DET,R,C,C,22,65,61,6.5,1.3,6.0,0.5,14.1,10.2,2.5,0.2,20.7,15.9,2.9,0.4,0.5,0.2,0.1,0.231,0.268,0.338,0.607,0.289,621512
502,Jorge Barrosa,ARI,S,OF,OF,19,60,54,6.4,1.0,5.6,1.5,12.5,8.8,2.4,0.3,18.5,12.5,5.5,0.5,0.4,0.2,0.5,0.234,0.308,0.344,0.653,0.284,678489
503,Luken Baker,STL,R,DH,DH,19,59,52,6.9,2.4,6.9,0.2,11.2,6.6,2.2,0.1,20.7,16.1,6.1,0.4,0.4,0.1,0.1,0.215,0.299,0.397,0.696,0.259,663609
504,Jonatan Clase,TOR,S,OF,OF,19,59,53,6.2,1.2,5.6,3.5,11.5,7.2,2.8,0.3,18.5,16.8,4.9,0.5,0.4,0.2,0.9,0.217,0.287,0.349,0.636,0.291,682729
505,Alan Roden,TOR,L,OF,OF,19,59,52,6.9,1.1,5.9,0.9,13.0,8.6,3.0,0.2,19.8,10.7,5.7,1.0,0.4,0.2,0.2,0.252,0.335,0.384,0.719,0.296,702176
506,DJ Stewart,PIT,L,OF,OF,18,56,48,6.4,1.8,5.8,0.5,10.4,6.4,2.1,0.1,18.1,15.3,6.7,1.1,0.4,0.1,0.1,0.216,0.324,0.377,0.701,0.274,621466
507,Garrett Cooper,ATL,R,1B,1B/OF,18,56,51,6.1,1.4,6.0,0.1,11.8,7.8,2.3,0.2,18.8,16.2,4.2,0.7,0.4,0.1,0.0,0.233,0.298,0.372,0.670,0.311,643265
508,Ben Rice,NYY,L,1B,1B,18,56,49,7.0,2.5,7.2,0.6,11.0,6.2,2.3,0.1,20.8,14.4,5.9,0.7,0.4,0.2,0.2,0.225,0.313,0.424,0.737,0.263,700250
509,Edgar Quero,CHW,S,C,C,19,56,49,5.9,1.3,5.3,0.3,11.3,7.5,2.3,0.1,17.8,11.6,5.2,0.8,0.4,0.2,0.1,0.231,0.311,0.364,0.675,0.274,700337
510,Jhonny Pereda,ATH,R,C,C,19,55,48,6.0,0.7,4.8,0.4,11.2,8.1,2.3,0.1,15.8,13.1,5.3,0.4,0.4,0.2,0.1,0.231,0.309,0.326,0.635,0.300,640902
511,Luke Williams,ATL,R,SS,2B/3B/ OF,18,55,50,5.7,0.8,5.0,2.4,11.1,7.7,2.3,0.1,16.2,15.2,4.1,0.4,0.4,0.2,0.6,0.222,0.285,0.326,0.611,0.299,663897
512,Michael Helman,STL,R,2B,2B,18,55,50,5.7,1.3,5.3,1.2,11.1,7.3,2.4,0.1,17.5,13.4,4.0,0.6,0.4,0.2,0.3,0.221,0.283,0.349,0.633,0.274,680737
513,Curt Casali,ATL,R,C,C,17,54,47,6.0,0.9,4.8,0.4,10.2,7.2,2.0,0.1,15.1,13.4,5.3,0.8,0.4,0.2,0.1,0.216,0.303,0.320,0.623,0.279,12510
514,Reese McGuire,CHC,L,C,C,18,54,49,5.1,0.7,4.5,0.6,11.1,8.1,2.1,0.2,15.7,13.8,3.5,0.5,0.4,0.2,0.2,0.226,0.282,0.319,0.601,0.299,15674
515,Garrett Stubbs,PHI,L,C,C,18,54,48,5.6,0.8,4.6,1.0,10.1,7.3,1.6,0.3,14.7,13.6,5.2,0.7,0.4,0.2,0.2,0.211,0.296,0.309,0.604,0.276,596117
516,Nick Madrigal,NYM,R,2B/3B,2B/3B,17,54,50,5.9,0.4,4.9,1.0,13.3,10.1,2.5,0.2,17.5,6.4,3.0,1.0,0.4,0.2,0.3,0.266,0.320,0.351,0.670,0.296,663611
517,Nicky Lopez,CHC,L,2B/SS,2B/SS,18,54,48,5.6,0.2,4.2,1.2,12.0,9.6,1.8,0.4,15.4,8.4,4.4,0.6,0.4,0.2,0.3,0.250,0.317,0.320,0.637,0.297,670032
518,Abraham Toro,BOS,S,3B,1B/2B/ 3B,15,51,46,6.0,1.1,4.9,0.6,11.3,7.5,2.4,0.2,17.4,9.4,3.9,0.5,0.3,0.2,0.2,0.247,0.309,0.381,0.690,0.285,647351
519,Andres Chaparro,WSH,R,DH,1B,15,47,42,5.1,1.5,5.2,0.2,10.1,6.3,2.3,0.1,17.0,10.2,3.7,0.5,0.3,0.1,0.1,0.241,0.307,0.405,0.712,0.282,665953
520,James Outman,LAD,L,OF,OF,15,47,41,5.5,1.5,5.3,0.9,8.9,5.4,1.9,0.2,15.6,14.8,4.9,0.8,0.3,0.1,0.2,0.218,0.310,0.383,0.693,0.298,681546
521,Johnathan Rodriguez,CLE,R,OF,OF,15,46,41,5.2,1.5,5.1,0.4,9.8,6.2,2.0,0.1,16.6,13.8,4.1,0.3,0.3,0.1,0.1,0.238,0.308,0.403,0.712,0.316,671286
522,Carlos D. Rodriguez,ATL,L,OF,OF,15,46,41,5.1,0.5,4.2,0.9,10.6,8.0,1.7,0.3,14.4,6.9,4.1,0.3,0.3,0.1,0.3,0.257,0.325,0.349,0.675,0.295,677578
523,Bryan Ramos,CHW,R,3B,3B,15,46,42,4.8,1.4,4.8,0.6,9.5,5.9,2.1,0.1,16.0,10.8,3.1,0.5,0.3,0.1,0.2,0.228,0.287,0.385,0.673,0.272,682868
524,Tim Tawa,ARI,R,OF,OF,15,46,42,5.0,1.2,4.7,0.6,9.7,6.7,1.7,0.1,15.2,11.3,3.3,0.4,0.3,0.1,0.2,0.232,0.291,0.362,0.653,0.287,694374
525,Zach Dezenzo,HOU,R,1B,1B,15,46,42,5.2,1.4,5.2,0.7,10.0,6.3,2.2,0.1,16.5,13.3,3.4,0.4,0.3,0.1,0.2,0.237,0.297,0.393,0.690,0.311,701305
526,Darren Baker,WSH,L,2B,2B,15,45,41,4.1,0.2,3.4,1.4,10.3,7.9,2.0,0.2,13.2,9.1,2.9,0.2,0.3,0.1,0.4,0.251,0.301,0.323,0.624,0.315,671117
527,Jorbit Vivas,NYY,L,2B,2B,15,45,39,5.0,0.8,4.2,1.0,8.6,5.8,1.9,0.1,13.1,8.1,4.4,0.9,0.3,0.1,0.3,0.218,0.308,0.333,0.641,0.254,678391
528,Tyler Callihan,CIN,L,2B,2B,15,45,41,4.6,0.8,4.2,1.3,9.2,6.0,2.2,0.1,14.2,12.3,3.1,0.4,0.3,0.1,0.3,0.223,0.281,0.343,0.624,0.292,682997
529,Nasim Nunez,WSH,S,SS,SS,15,45,39,4.5,0.4,3.3,2.4,8.8,6.7,1.6,0.1,11.7,9.6,5.1,0.3,0.3,0.1,0.6,0.228,0.320,0.304,0.624,0.291,683083
530,Vaughn Grissom,BOS,R,2B,2B,15,45,39,4.9,0.8,4.4,0.9,10.5,7.6,1.9,0.2,15.0,8.3,3.9,0.7,0.3,0.1,0.2,0.265,0.338,0.379,0.717,0.317,687093
531,Robert Hassell III,WSH,L,OF,OF,15,45,40,4.2,0.6,3.7,0.9,8.8,6.2,1.8,0.1,12.8,11.5,3.6,0.4,0.3,0.1,0.2,0.220,0.286,0.320,0.606,0.290,690987
532,Max Muncy,ATH,R,SS,SS,15,45,41,4.6,0.8,4.2,0.6,9.0,5.9,2.2,0.1,13.8,12.8,3.1,0.6,0.3,0.1,0.2,0.219,0.280,0.337,0.617,0.294,691777
