"last_name, first_name","player_id","year","player_age"
"Arozarena, Randy",668227,2024,29
"Jones, Nolan",666134,2024,26
"Ibáñez, Andy",628451,2024,31
"Santander, Anthony",623993,2024,29
"Dezenzo, Zach",701305,2024,24
"Mastrobuoni, Miles",670156,2024,28
"Montero, Elehuris",660707,2024,25
"Wallner, Matt",670242,2024,26
"Kelly, Carson",608348,2024,29
"Marte, Starling",516782,2024,35
"Torrens, Luis",620443,2024,28
"Robert Jr., Luis",673357,2024,26
"Hoerner, Nico",663538,2024,27
"Sánchez, Ali",645305,2024,27
"Happ, Ian",664023,2024,29
"Mateo, Jorge",622761,2024,29
"Wong, Connor",657136,2024,28
"Canzone, Dominic",686527,2024,26
"Lowe, Nathaniel",663993,2024,28
"Garver, Mitch",641598,2024,33
"Gonzalez, Romy",663853,2024,27
"Lopez, Nicky",670032,2024,29
"Rosario, Amed",642708,2024,28
"Schunk, Aaron",668845,2024,26
"Schanuel, Nolan",694384,2024,22
"Cave, Jake",595909,2024,31
"Nevin, Tyler",663527,2024,27
"Barnes, Austin",605131,2024,34
"Mead, Curtis",678554,2024,23
"Rodríguez, Julio",677594,2024,23
"Beck, Jordan",687597,2024,23
"Bell, Josh",605137,2024,31
"Tromp, Chadwick",644433,2024,29
"Yoshida, Masataka",807799,2024,30
"Smith, Dominic",642086,2024,29
"McMahon, Ryan",641857,2024,29
"Kavadas, Niko",694359,2024,25
"García, Luis",671277,2024,24
"Kwan, Steven",680757,2024,26
"Urías, Ramón",602104,2024,30
"Lopez, Otto",672640,2024,25
"Heyward, Jason",518792,2024,34
"Contreras, William",661388,2024,26
"Wagaman, Eric",676572,2024,26
"Reynolds, Bryan",668804,2024,29
"Kjerstad, Heston",677008,2024,25
"Miranda, Jose",669304,2024,26
"Robles, Victor",645302,2024,27
"Solano, Donovan",456781,2024,36
"Lukes, Nathan",664770,2024,29
"Peralta, David",444482,2024,36
"Fry, David",681807,2024,28
"Gamel, Ben",592325,2024,32
"Martínez, Angel",682657,2024,22
"Martinez, J.D.",502110,2024,36
