"last_name, first_name","player_id","year","player_age"
"Castro, Miguel",612434,2024,29
"Hudson, Daniel",543339,2024,37
"Devenski, Chris",606965,2024,33
"Fulmer, Carson",608334,2024,30
"Ort, Kaleb",672391,2024,32
"Romero, JoJo",668941,2024,27
"Faedo, Alex",656412,2024,28
"Anderson, Shaun",641312,2024,29
"Ginkel, Kevin",656464,2024,30
"Estes, Joey",683155,2024,22
"Springs, Jeffrey",605488,2024,31
"Jacob, Alek",689690,2024,26
"Ureña, José",570632,2024,32
"Miller, Shelby",571946,2024,33
"Alexander, Tyler",641302,2024,29
"Ross, Joe",605452,2024,31
"Detmers, Reid",672282,2024,24
"Robertson, David",502085,2024,39
"Vesia, Alex",681911,2024,28
"García, Deivi",665620,2024,25
"McGough, Scott",543518,2024,34
"Erceg, Lucas",668674,2024,29
"Slaten, Justin",686580,2024,26
"Ellard, Fraser",686642,2024,26
"Yamamoto, Yoshinobu",808967,2024,25
"Walker, Ryan",676254,2024,28
"Diekman, Jake",518617,2024,37
"Heaney, Andrew",571760,2024,33
"Martinez, Seth",661527,2024,29
"Rogers, Josh",642028,2024,29
"Arrighetti, Spencer",681293,2024,24
"Bummer, Aaron",607481,2024,30
"Glasnow, Tyler",607192,2024,30
"Cole, Gerrit",543037,2024,33
"Cueto, Johnny",456501,2024,38
"Kershaw, Clayton",477132,2024,36
"Varland, Gus",681402,2024,27
"Palencia, Daniel",694037,2024,24
"Floro, Dylan",571670,2024,33
"Kremer, Dean",665152,2024,28
"Leahy, Kyle",681517,2024,27
"Suarez, Robert",663158,2024,33
"Bubic, Kris",663460,2024,26
"Miller, Ryan",668943,2024,28
"Jarvis, Bryce",686826,2024,26
"Domínguez, Seranthony",622554,2024,29
"Leiter, Jack",683004,2024,24
"Brooks, Aaron",605156,2024,34
"Stanek, Ryne",592773,2024,32
"Matthews, Zebby",805673,2024,24
"Aguiar, Julian",687924,2024,23
"Francis, Bowden",670102,2024,28
"Petersen, Michael",656848,2024,30
"Flaherty, Jack",656427,2024,28
"Mears, Nick",683232,2024,27
"Pallante, Andre",669467,2024,25
"White, Mitch",669952,2024,29
"Oller, Adam",670124,2024,29
"Smith, Cade",671922,2024,25
"Roberts, Ethan",681799,2024,26
"Vodnik, Victor",680767,2024,24
"Pérez, Martín",527048,2024,33
"Miller, Erik",669062,2024,26
"Senzatela, Antonio",622608,2024,29
"Vest, Will",676684,2024,29
"Phillips, Evan",623465,2024,29
"Kimbrel, Craig",518886,2024,36
"Núñez, Dedniel",673380,2024,28
"Hanifee, Brenan",669724,2024,26
"Means, John",607644,2024,31
"Rosenberg, Kenny",670046,2024,28
"Smith, Will",519293,2024,34
"Morton, Charlie",450203,2024,40
"Scott, Tayler",605463,2024,32
"Chapman, Aroldis",547973,2024,36
"Martinez, Justin",679885,2024,22
"Tonkin, Michael",543859,2024,34
"Meyer, Max",676974,2024,25
"Avila, Pedro",658648,2024,27
"Thompson, Zack",668868,2024,26
"Plesac, Zach",668676,2024,29
"Heller, Ben",621294,2024,32
"Wicks, Jordan",696136,2024,24
"Rodríguez, Manuel",655889,2024,27
"Barnes, Jacob",606930,2024,34
"Bello, Brayan",678394,2024,25
"Webb, Logan",657277,2024,27
"Keller, Mitch",656605,2024,28
"Snell, Blake",605483,2024,31
"Beeks, Jalen",656222,2024,30
"Steele, Justin",657006,2024,28
"Santillan, Tony",663574,2024,27
"Almonte, Yency",622075,2024,30
"Olson, Reese",681857,2024,24
"Gausman, Kevin",592332,2024,33
"Bellozo, Valente",678368,2024,24
"Hughes, Brandon",676714,2024,28
"Ottavino, Adam",493603,2024,38
"Festa, Matt",670036,2024,31
"Holman, Grant",680880,2024,24
"Zerpa, Angel",672582,2024,24
"Medina, Luis",665622,2024,25
"Rogers, Tyler",643511,2024,33
"Buttó, José",676130,2024,26
"Abreu, Bryan",650556,2024,27
"Schwellenbach, Spencer",680885,2024,24
"Irvin, Jake",663623,2024,27
"Garrett, Braxton",666129,2024,26
"Rodríguez, Yerry",666720,2024,26
"Winn, Keaton",676775,2024,26
"Muller, Kyle",666205,2024,26
"Rodriguez, Grayson",680570,2024,24
"Herget, Jimmy",623474,2024,30
"Crochet, Garrett",676979,2024,25
"Pagán, Emilio",641941,2024,33
"Ferrer, Jose A.",678606,2024,24
"Ryan, Joe",657746,2024,28
"Peguero, Elvis",665625,2024,27
"Rodriguez, Carlos",692230,2024,22
"Marsh, Alec",679525,2024,26
"Wacha, Michael",608379,2024,32
"Pérez, Cionel",672335,2024,28
"Rodríguez, Randy",678495,2024,24
"Hill, Tim",657612,2024,34
"Jiménez, Dany",666204,2024,30
"Gordon, Tanner",685299,2024,26
"Santana, Dennis",642701,2024,28
"Spence, Mitch",687765,2024,26
"Bielak, Brandon",656232,2024,28
"King, Bryan",687911,2024,27
"Díaz, Edwin",621242,2024,30
"Bradish, Kyle",680694,2024,27
"Cabrera, Génesis",650893,2024,27
"Suter, Brent",608718,2024,34
"Cano, Yennier",666974,2024,30
"Kelly, Merrill",518876,2024,35
"Cimber, Adam",643256,2024,33
"Ashcraft, Graham",668933,2024,26
"Lodolo, Nick",666157,2024,26
"Robertson, Nick",687798,2024,25
"Boyd, Matthew",571510,2024,33
"Martin, Chris",455119,2024,38
"Cruz, Fernando",518585,2024,34
"Sandoval, Patrick",663776,2024,27
"McGreevy, Michael",700241,2024,23
"Williamson, Brandon",682227,2024,26
"Treinen, Blake",595014,2024,36
"Fried, Max",608331,2024,30
"Luzardo, Jesús",666200,2024,26
"Berríos, José",621244,2024,30
"Gilbert, Logan",669302,2024,27
"Barnes, Matt",598264,2024,34
"Smyly, Drew",592767,2024,35
"Henry, Tommy",674072,2024,26
"Irvin, Cole",608344,2024,30
"Leone, Dominic",608678,2024,32
"Gore, MacKenzie",669022,2024,25
"Mlodzinski, Carmen",669387,2024,25
"Rodriguez, Yariel",684320,2024,27
"Sims, Lucas",608371,2024,30
"Sandlin, Nick",680704,2024,27
"Manning, Matt",666159,2024,26
"Woodford, Jake",663765,2024,27
"Walker, Josh",677020,2024,29
"Sears, JP",676664,2024,28
"Estévez, Carlos",608032,2024,31
"Skubal, Tarik",669373,2024,27
"Walker, Taijuan",592836,2024,31
"Clase, Emmanuel",661403,2024,26
"Nelson, Ryne",669194,2024,26
"Wilson, Justin",458677,2024,36
"Valdez, Framber",664285,2024,30
"Fernandez, Ryan",681676,2024,26
"Hall, DL",669084,2024,25
"Ryan, River",689981,2024,25
"Funderburk, Kody",681892,2024,27
"Peralta, Sammy",671111,2024,26
"Paxton, James",572020,2024,35
"Lovelady, Richard",663992,2024,28
"Brieske, Beau",689225,2024,26
"Muñoz, Andrés",662253,2024,25
"Cuas, Jose",621016,2024,30
"Stroman, Marcus",573186,2024,33
"Martin, Davis",663436,2024,27
"Fairbanks, Pete",664126,2024,30
"Jackson, Jay",543351,2024,36
"Montero, Rafael",606160,2024,33
"Mazur, Adam",800049,2024,23
"Severino, Luis",622663,2024,30
"Bradley, Taj",671737,2024,23
"Wentz, Joey",666214,2024,26
"Marinaccio, Ron",676760,2024,28
"Pennington, Walter",679156,2024,26
"Nance, Tommy",667297,2024,33
"Flexen, Chris",623167,2024,29
"Gallen, Zac",668678,2024,28
"Herz, DJ",687792,2024,23
"Crouse, Hans",668968,2024,25
"Williams, Trevor",592866,2024,32
"Brown, Hunter",686613,2024,25
"Gray, Jon",592351,2024,32
"Imanaga, Shota",684007,2024,30
"Bivens, Spencer",702352,2024,30
"Cousins, Jake",664776,2024,29
"Nardi, Andrew",677053,2024,25
"Zulueta, Yosver",691172,2024,26
"Basso, Brady",669620,2024,26
"Bush, Ky",681066,2024,24
"McFarland, T.J.",519008,2024,35
"Cantillo, Joey",676282,2024,24
"Parker, Mitchell",680730,2024,24
"Winn, Cole",668390,2024,24
"Skenes, Paul",694973,2024,22
"Knack, Landon",689017,2024,26
"Liberatore, Matthew",669461,2024,24
"Mikolas, Miles",571945,2024,35
"Ryan, Ryder",656924,2024,29
"Keller, Brad",641745,2024,28
"Wheeler, Zack",554430,2024,34
"France, J.P.",641585,2024,29
"Chafin, Andrew",605177,2024,34
"Foley, Jason",671345,2024,28
"Farmer, Buck",571656,2024,33
"Canning, Griffin",656288,2024,28
"Young, Alex",622065,2024,30
"Pearson, Nate",663878,2024,27
"Blewett, Scott",656240,2024,28
"Pfaadt, Brandon",694297,2024,25
"Weems, Jordan",607179,2024,31
"Castillo, Luis",622491,2024,31
"Peterson, David",656849,2024,28
"Assad, Javier",665871,2024,26
"Dunning, Dane",641540,2024,29
"Maldonado, Anthony",687424,2024,26
"Kerr, Ray",678061,2024,29
"Lange, Alex",656638,2024,28
"Moore, Matt",519043,2024,35
"Feltner, Ryan",663372,2024,27
"Tyler, Kyle",667725,2024,27
"Cosgrove, Tom",676680,2024,28
"Bowman, Matt",621199,2024,33
"Soto, Gregory",642397,2024,29
"Lowder, Rhett",695076,2024,22
"Jax, Griffin",643377,2024,29
"Tinoco, Jesus",622786,2024,29
"Paddack, Chris",663978,2024,28
"Black, Mason",696131,2024,24
